Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Accuracy Mean,CV Accuracy Std,Training Patients,Test Patients
ANN,0.8032467532467533,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.8277777777777778,0.7914967346394775,0.01718652980824771,614,154
KNN,0.7662337662337663,0.7045454545454546,0.5740740740740741,0.6326530612244898,0.8238888888888889,0.7752632280421164,0.027342798355807024,614,154
SVM,0.7077922077922078,0.5957446808510638,0.5185185185185185,0.5544554455445545,0.8227777777777778,0.7947620951619352,0.017676488623968502,614,154
